53 - Despesa em saúde per capita
Despesa em saúde per capita por Município e Ano
Período:2020-2022
"Município";"2020";"2021";"2022";"Total"
"352910 Marinópolis";1751,36;2091,26;2515,78;2116,44
"352920 Martinópolis";1064,03;1089,47;1288,65;1147,33
"352930 Matão";553,57;774,51;990,82;772,78
"352940 Mauá";814,73;895,27;991,55;900,33
"352950 Mendonça";1420,71;1850,68;2375,36;1887,97
"352960 Meridiano";1730,62;1836,23;2204,75;1925,19
"352965 Mesópolis";2199,89;2250,40;2849,23;2433,53
"352970 Miguelópolis";1213,67;1401,92;1484,30;1365,88
"352980 Mineiros do Tietê";945,95;1052,43;1302,37;1099,19
"353000 Mira Estrela";1530,10;2016,80;2390,22;1980,52
"352990 Miracatu";1059,19;1202,19;1195,38;1151,66
"353010 Mirandópolis";757,37;918,98;1122,79;932,75
"353020 Mirante do Paranapanema";1388,97;1591,60;1743,70;1573,64
"353030 Mirassol";718,80;832,88;710,96;754,20
"353040 Mirassolândia";1171,19;1516,70;1871,39;1520,66
"353050 Mococa";1085,07;1068,01;1184,90;1112,58
"353060 Mogi das Cruzes";875,49;940,56;955,44;924,06
"353070 Mogi Guaçu";1059,04;1123,36;1206,82;1129,99
"353080 Moji Mirim";1247,18;1576,19;1599,40;1474,44
"353090 Mombuca";1533,63;1772,46;2041,96;1783,98
"353100 Monções";2944,36;3405,01;3931,62;3422,06
"353110 Mongaguá";1000,13;1226,99;1427,44;1220,80
"353120 Monte Alegre do Sul";837,30;859,64;851,20;849,44
"353130 Monte Alto";997,58;1156,88;1352,85;1168,94
"353140 Monte Aprazível";914,03;883,94;1070,16;955,99
"353150 Monte Azul Paulista";1263,47;1305,30;1711,69;1425,84
"353160 Monte Castelo";1346,22;1201,30;1912,45;1486,69
"353180 Monte Mor";844,06;916,53;1176,70;981,10
"353170 Monteiro Lobato";1197,96;1349,18;1841,71;1462,95
"353190 Morro Agudo";1402,89;1604,21;1853,60;1619,01
"353200 Morungaba";1461,98;1640,26;1997,44;1701,47
"353205 Motuca";1798,03;1846,75;2113,94;1918,48
"353210 Murutinga do Sul";1306,60;1372,83;1883,61;1518,50
"353215 Nantes";2270,62;2353,92;2743,89;2455,68
"353220 Narandiba";1378,52;1560,26;1926,66;1625,52
"353230 Natividade da Serra";895,74;919,12;1195,11;1003,50
"353240 Nazaré Paulista";936,66;960,66;1088,77;995,66
"353250 Neves Paulista";881,58;1067,90;1196,41;1049,16
"353260 Nhandeara";1223,16;1130,54;1370,32;1240,72
"353270 Nipoã";1266,50;923,89;1275,89;1155,38
"353280 Nova Aliança";1244,91;1437,10;1847,57;1511,40
"353282 Nova Campina";1020,05;1240,13;1537,74;1265,43
"353284 Nova Canaã Paulista";1768,45;2027,17;2819,18;2203,02
"353286 Nova Castilho";2993,50;3355,86;3880,67;3406,60
"353290 Nova Europa";1265,23;1455,23;1780,29;1499,80
"353300 Nova Granada";917,95;1068,23;1239,21;1075,04
"353310 Nova Guataporanga";1898,94;1826,80;2152,75;1959,17
"353320 Nova Independência";1769,44;2032,94;2364,70;2060,36
"353330 Nova Luzitânia";1547,82;1775,88;2640,74;1979,88
"353340 Nova Odessa";1161,64;1474,47;1583,45;1408,18
"353325 Novais";1130,83;1337,51;1685,84;1383,76
"353350 Novo Horizonte";1136,10;1273,99;1482,72;1297,53
